Prompt,Gemini_Output
Provide exactly two houses except the alphabetically first in JSON.,"```json
[
  {
    ""type"": ""Bungalow"",
    ""bedrooms"": 2,
    ""bathrooms"": 1,
    ""size_sqft"": 900,
    ""lot_size_acres"": 0.15
  },
  {
    ""type"": ""Townhouse"",
    ""bedrooms"": 3,
    ""bathrooms"": 2.5,
    ""size_sqft"": 1500,
    ""lot_size_acres"": 0.05
  }
]
```
"
Provide exactly three houses except the alphabetically last in JSON.,"```json
[
  {
    ""house"": ""Arryn""
  },
  {
    ""house"": ""Baratheon""
  },
  {
    ""house"": ""Greyjoy""
  }
]
```
"
Provide exactly two houses sorted alphabetically without explanation.,"*   Gryffindor
*   Hufflepuff
"
Provide exactly three houses sorted alphabetically without explanation.,"*   Gryffindor
*   Hufflepuff
*   Ravenclaw
"
Provide exactly two houses separated by vertical bars in lowercase.,"🏠|🏠
"
Provide exactly three houses separated by vertical bars in uppercase.,"HOUSE | HOUSE | HOUSE
"
Provide exactly two houses in alphabetical order separated by spaces.,"Gryffindor Hufflepuff
"
Provide exactly three houses in reverse alphabetical order separated by spaces.,"Tudor Victorian Ranch
"
Provide exactly two houses in a single sentence only.,"The charming Victorian house with a wraparound porch sat next to a modern, minimalist house with floor-to-ceiling windows.
"
Provide exactly three houses in a single sentence only.,"The charming Victorian house with a wraparound porch, the modern minimalist house with floor-to-ceiling windows, and the cozy cottage nestled in the woods each offered a unique appeal.
"
Provide exactly two houses as a Python list in lowercase.,"```python
['house', 'mansion']
```
"
Provide exactly three houses as a Python list in uppercase.,"```python
HOUSES = [""GRYFFINDOR"", ""SLYTHERIN"", ""RAVENCLAW""]
```
"
Provide exactly two houses excluding Gryffindor as JSON array.,"```json
[
  ""Slytherin"",
  ""Ravenclaw""
]
```
"
Provide exactly three houses excluding Slytherin as JSON array.,"```json
[
  ""Gryffindor"",
  ""Hufflepuff"",
  ""Ravenclaw""
]
```
"
Provide exactly two houses excluding Ravenclaw as JSON object with key 'houses'.,"```json
{
  ""houses"": [
    {
      ""name"": ""Gryffindor"",
      ""colors"": [
        ""Scarlet"",
        ""Gold""
      ],
      ""founder"": ""Godric Gryffindor"",
      ""animal"": ""Lion""
    },
    {
      ""name"": ""Slytherin"",
      ""colors"": [
        ""Green"",
        ""Silver""
      ],
      ""founder"": ""Salazar Slytherin"",
      ""animal"": ""Serpent""
    }
  ]
}
```
"
Provide exactly three houses excluding Hufflepuff as JSON object with key 'houses'.,"```json
{
  ""houses"": [
    {
      ""name"": ""Gryffindor"",
      ""founder"": ""Godric Gryffindor"",
      ""animal"": ""Lion"",
      ""colors"": [""Scarlet"", ""Gold""]
    },
    {
      ""name"": ""Slytherin"",
      ""founder"": ""Salazar Slytherin"",
      ""animal"": ""Serpent"",
      ""colors"": [""Green"", ""Silver""]
    },
    {
      ""name"": ""Ravenclaw"",
      ""founder"": ""Rowena Ravenclaw"",
      ""animal"": ""Eagle"",
      ""colors"": [""Blue"", ""Bronze""]
    }
  ]
}
```
"
Provide exactly two houses sorted by name length descending.,"Okay, here are two houses, sorted by the length of their names in descending order:

1.  **Gryffindor**
2.  **Hufflepuff**
"
Provide exactly three houses sorted by name length ascending.,"Okay, here are three houses, sorted by the length of their names, ascending:

1.  **Hut**
2.  **Villa**
3.  **Mansion**
"
Provide exactly two houses in alphabetical order enclosed in quotation marks.,"""Gryffindor"", ""Hufflepuff""
"
Provide exactly three houses in reverse alphabetical order enclosed in quotation marks.,"""Tudor""
""Victorian""
""Ranch""
"
Provide exactly two houses except the shortest in uppercase.,"Okay, here are two houses, excluding the shortest, with the house names in uppercase:

*   MANSION
*   BUNGALOW
"
Provide exactly three houses except the longest in lowercase.,"Okay, here are three houses, excluding the longest, in lowercase:

*   house
*   cottage
*   cabin
"
List all Hogwarts houses.,"The four Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
What are the Hogwarts houses?,"The four Hogwarts houses are:

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry. Its house colors are scarlet and gold, and its animal symbol is the lion.

*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play. Its house colors are yellow and black, and its animal symbol is the badger.

*   **Ravenclaw:** Known for intelligence, learning, wisdom, wit, and creativity. Its house colors are blue and bronze, and its animal symbol is the eagle.

*   **Slytherin:** Known for ambition, cunning, leadership, resourcefulness, and self-preservation. Its house colors are green and silver, and its animal symbol is the serpent."
Name the four houses at Hogwarts.,"The four houses at Hogwarts School of Witchcraft and Wizardry are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Provide the Hogwarts houses.,"The four Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Enumerate the Hogwarts houses.,"The four Hogwarts houses are:

1.  **Gryffindor:** Known for bravery, daring, nerve, and chivalry.
2.  **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play.
3.  **Ravenclaw:** Known for intelligence, learning, wisdom, wit, and creativity.
4.  **Slytherin:** Known for ambition, cunning, leadership, resourcefulness, and self-preservation.
"
Identify the Hogwarts houses.,"The four Hogwarts houses are:

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry.
*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play.
*   **Ravenclaw:** Known for intelligence, learning, wisdom, and wit.
*   **Slytherin:** Known for ambition, cunning, leadership, and resourcefulness."
State the Hogwarts houses.,"The four Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Return the Hogwarts houses.,"Okay, here are the four Hogwarts houses:

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry.
*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play.
*   **Ravenclaw:** Known for intelligence, learning, wisdom, wit, and creativity.
*   **Slytherin:** Known for ambition, cunning, leadership, resourcefulness, and self-preservation."
Tell me the Hogwarts houses.,"The four Hogwarts houses are:

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry.
*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play.
*   **Ravenclaw:** Known for intelligence, learning, wisdom, wit, and creativity.
*   **Slytherin:** Known for ambition, cunning, leadership, resourcefulness, and self-preservation."
Which houses exist at Hogwarts?,"There are four houses at Hogwarts School of Witchcraft and Wizardry:

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry.
*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play.
*   **Ravenclaw:** Known for intelligence, learning, wisdom, wit, and creativity.
*   **Slytherin:** Known for ambition, cunning, leadership, resourcefulness, and self-preservation."
List all houses of Hogwarts.,"The four houses of Hogwarts School of Witchcraft and Wizardry are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
What houses belong to Hogwarts?,"Hogwarts School of Witchcraft and Wizardry has four houses:

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry. Its colors are scarlet and gold, and its animal symbol is the lion.
*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play. Its colors are yellow and black, and its animal symbol is the badger.
*   **Ravenclaw:** Known for intelligence, learning, wisdom, wit, and creativity. Its colors are blue and bronze, and its animal symbol is the eagle.
*   **Slytherin:** Known for ambition, cunning, leadership, resourcefulness, and self-preservation. Its colors are green and silver, and its animal symbol is the serpent."
What are the names of the Hogwarts houses?,"The four Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Give me the names of the Hogwarts houses.,"The Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Provide the list of Hogwarts houses.,"Here are the four Hogwarts houses:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Output the Hogwarts house names.,"Gryffindor
Hufflepuff
Ravenclaw
Slytherin
"
State the names of the Hogwarts houses.,"The Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Identify the four Hogwarts houses.,"The four Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the official Hogwarts houses.,"The four official Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Name every Hogwarts house.,"The four Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the main Hogwarts houses.,"The four main Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the primary Hogwarts houses.,"The four primary Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the traditional Hogwarts houses.,"The four traditional Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the original Hogwarts houses.,"The original Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the classic Hogwarts houses.,"The four classic Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the foundational Hogwarts houses.,"The four foundational Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the central Hogwarts houses.,"The four central Hogwarts houses are:

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry.
*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play.
*   **Ravenclaw:** Known for intelligence, learning, wisdom, and wit.
*   **Slytherin:** Known for ambition, cunning, leadership, and resourcefulness."
List the canonical Hogwarts houses.,"The four canonical Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the core Hogwarts houses.,"The four core Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the recognized Hogwarts houses.,"The four recognized Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Repeat: list all Hogwarts houses.,"Gryffindor, Hufflepuff, Ravenclaw, Slytherin.
"
"Once again, list all Hogwarts houses.","*   Gryffindor
*   Hufflepuff
*   Ravenclaw
*   Slytherin
"
Please list all Hogwarts houses again.,"*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**
"
Provide the Hogwarts houses once more.,"Okay, here are the four Hogwarts Houses:

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry.
*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play.
*   **Ravenclaw:** Known for intelligence, learning, wisdom, wit, and creativity.
*   **Slytherin:** Known for ambition, cunning, leadership, resourcefulness, and self-preservation."
Restate the Hogwarts houses.,"Okay, here's a restatement of the Hogwarts houses, focusing on their core values and typical traits:

*   **Gryffindor:** Values bravery, daring, nerve, and chivalry. Gryffindors are known for their courage, willingness to stand up for what's right, and sometimes, a bit of recklessness.

*   **Hufflepuff:** Values hard work, dedication, patience, loyalty, and fair play. Hufflepuffs are known for their kindness, inclusivity, and strong sense of justice.

*   **Ravenclaw:** Values intelligence, learning, wisdom, and wit. Ravenclaws are known for their creativity, originality, and thirst for knowledge.

*   **Slytherin:** Values ambition, cunning, leadership, and resourcefulness. Slytherins are known for their determination, self-preservation, and ability to achieve their goals."
Repeat the Hogwarts house names.,"Gryffindor, Hufflepuff, Ravenclaw, Slytherin.
"
Output the same Hogwarts houses again.,"Okay, here are the Hogwarts houses again:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**
"
Provide the same list of Hogwarts houses.,"Okay, here are the Hogwarts Houses:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**
"
List the Hogwarts houses again.,"Okay, here are the four Hogwarts houses:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Reproduce the Hogwarts house list.,"Okay, here's the list of the four Hogwarts Houses:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**
"
List all Hogwarts houses in alphabetical order.,"Okay, here are the Hogwarts houses in alphabetical order:

*   Gryffindor
*   Hufflepuff
*   Ravenclaw
*   Slytherin
"
List all Hogwarts houses in reverse alphabetical order.,"Okay, here are the Hogwarts houses in reverse alphabetical order:

*   **Slytherin**
*   **Ravenclaw**
*   **Hufflepuff**
*   **Gryffindor**
"
List all Hogwarts houses sorted by name length.,"Okay, here are the Hogwarts houses sorted by the length of their names, from shortest to longest:

1.  **Hufflepuff** (10 letters)
2.  **Gryffindor** (10 letters)
3.  **Ravenclaw** (10 letters)
4.  **Slytherin** (9 letters)
"
List all Hogwarts houses sorted by name length descending.,"Okay, here are the Hogwarts houses sorted by the length of their names, from longest to shortest:

1.  **Gryffindor** (10 letters)
2.  **Ravenclaw** (9 letters)
3.  **Hufflepuff** (9 letters)
4.  **Slytherin** (9 letters)
"
List all Hogwarts houses separated by commas.,"Gryffindor, Hufflepuff, Ravenclaw, Slytherin
"
List all Hogwarts houses separated by semicolons.,"Gryffindor; Hufflepuff; Ravenclaw; Slytherin
"
List all Hogwarts houses in lowercase.,"gryffindor
hufflepuff
ravenclaw
slytherin
"
List all Hogwarts houses in uppercase.,"GRYFFINDOR
HUFFLEPUFF
RAVENCLAW
SLYTHERIN
"
List all Hogwarts houses in sentence form.,"The four houses of Hogwarts School of Witchcraft and Wizardry are Gryffindor, Hufflepuff, Ravenclaw, and Slytherin.
"
List all Hogwarts houses as bullet points.,"Here are the Hogwarts houses:

*   Gryffindor
*   Hufflepuff
*   Ravenclaw
*   Slytherin
"
Provide the Hogwarts houses in plain text.,"Gryffindor
Hufflepuff
Ravenclaw
Slytherin
"
Provide the Hogwarts houses in JSON format.,"```json
{
  ""houses"": [
    {
      ""name"": ""Gryffindor"",
      ""colors"": [""Scarlet"", ""Gold""],
      ""animal"": ""Lion"",
      ""founder"": ""Godric Gryffindor"",
      ""traits"": [""Courage"", ""Bravery"", ""Chivalry"", ""Determination"", ""Nerve""],
      ""element"": ""Fire"",
      ""ghost"": ""Nearly Headless Nick""
    },
    {
      ""name"": ""Hufflepuff"",
      ""colors"": [""Yellow"", ""Black""],
      ""animal"": ""Badger"",
      ""founder"": ""Helga Hufflepuff"",
      ""traits"": [""Hard Work"", ""Dedication"", ""Patience"", ""Loyalty"", ""Fair Play""],
      ""element"": ""Earth"",
      ""ghost"": ""The Fat Friar""
    },
    {"
Provide the Hogwarts houses as a numbered list.,"Here are the Hogwarts Houses as a numbered list:

1.  Gryffindor
2.  Hufflepuff
3.  Ravenclaw
4.  Slytherin
"
Provide the Hogwarts houses as a Python list.,"```python
hogwarts_houses = [""Gryffindor"", ""Hufflepuff"", ""Ravenclaw"", ""Slytherin""]
```
"
Provide the Hogwarts houses as a CSV line.,"Gryffindor,Hufflepuff,Ravenclaw,Slytherin
"
Provide the Hogwarts houses enclosed in brackets.,"[Gryffindor] [Hufflepuff] [Ravenclaw] [Slytherin]
"
Provide the Hogwarts houses enclosed in parentheses.,"Here are the Hogwarts houses enclosed in parentheses:

(Gryffindor)
(Hufflepuff)
(Ravenclaw)
(Slytherin)
"
Provide the Hogwarts houses enclosed in quotes.,"""Gryffindor""
""Hufflepuff""
""Ravenclaw""
""Slytherin""
"
Provide the Hogwarts houses in one line.,"Gryffindor, Hufflepuff, Ravenclaw, Slytherin.
"
Provide the Hogwarts houses each on separate lines.,"Gryffindor
Hufflepuff
Ravenclaw
Slytherin
"
Name the Hogwarts houses in lowercase only.,"gryffindor, hufflepuff, ravenclaw, slytherin
"
Name the Hogwarts houses in uppercase only.,"GRYFFINDOR
HUFFLEPUFF
RAVENCLAW
SLYTHERIN
"
Name the Hogwarts houses without punctuation.,"Gryffindor Hufflepuff Ravenclaw Slytherin
"
Name the Hogwarts houses without explanation.,"*   Gryffindor
*   Hufflepuff
*   Ravenclaw
*   Slytherin
"
Name the Hogwarts houses without using commas.,"Gryffindor Hufflepuff Ravenclaw Slytherin
"
Name the Hogwarts houses separated by vertical bars.,"Gryffindor | Hufflepuff | Ravenclaw | Slytherin
"
Name the Hogwarts houses separated by spaces.,"Gryffindor Hufflepuff Ravenclaw Slytherin
"
Name the Hogwarts houses separated by slashes.,"Gryffindor/Hufflepuff/Ravenclaw/Slytherin
"
Name the Hogwarts houses separated by hyphens.,"Gryffindor-Hufflepuff-Ravenclaw-Slytherin
"
Name the Hogwarts houses separated by colons.List the major Hogwarts houses.,"Gryffindor:Hufflepuff:Ravenclaw:Slytherin

The major Hogwarts houses are Gryffindor, Hufflepuff, Ravenclaw, and Slytherin.
"
List the important Hogwarts houses.,"The four important Hogwarts houses are:

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry. Its house colors are scarlet and gold, and its animal symbol is the lion.

*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play. Its house colors are yellow and black, and its animal symbol is the badger.

*   **Ravenclaw:** Known for intelligence, learning, wisdom, wit, and creativity. Its house colors are blue and bronze, and its animal symbol is the eagle.

*   **Slytherin:** Known for ambition, cunning, leadership, resourcefulness, and self-preservation. Its house colors are green and silver, and its animal symbol is the serpent."
List the prominent Hogwarts houses.,"The four prominent Hogwarts houses are:

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry.
*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play.
*   **Ravenclaw:** Known for intelligence, learning, wisdom, and wit.
*   **Slytherin:** Known for ambition, cunning, leadership, and resourcefulness."
List the well-known Hogwarts houses.,"The four well-known Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the significant Hogwarts houses.,"There are four significant Hogwarts houses:

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry.
*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play.
*   **Ravenclaw:** Known for intelligence, learning, wisdom, and wit.
*   **Slytherin:** Known for ambition, cunning, leadership, and resourcefulness."
List the primary house groups at Hogwarts.,"The four primary house groups at Hogwarts School of Witchcraft and Wizardry are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the established Hogwarts houses.,"The four established Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the main house divisions at Hogwarts.,"The four main house divisions at Hogwarts School of Witchcraft and Wizardry are:

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry.
*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play.
*   **Ravenclaw:** Known for intelligence, learning, wisdom, wit, and creativity.
*   **Slytherin:** Known for ambition, cunning, leadership, resourcefulness, and self-preservation."
List the four traditional house groups.,"The four traditional Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the official house divisions.,"In the United States Congress, the official house divisions are:

*   **House of Representatives:** Divided into Congressional Districts, with each state allocated a number of representatives based on its population.
*   **Senate:** Divided by state, with each state having two senators regardless of population."
Name the main house groups.,"When you say ""house groups,"" it's important to know what context you're asking about. Here are some possibilities and their main house groups:

**1. Hogwarts School of Witchcraft and Wizardry (Harry Potter):**

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry.
*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play.
*   **Ravenclaw:** Known for intelligence, learning, wisdom, and wit.
*   **Slytherin:** Known for ambition, cunning, leadership, and resourcefulness.

**2. Fraternities and Sororities (Greek Life):**

*   These are too numerous to list exhaustively, as each university or college often has its own chapters. However, they are generally categorized as:
    *   **Fraternities:** For men.
    *   **Sororities:**"
Identify the traditional houses.,"Please provide me with more context! I need information to identify traditional houses. Tell me:

*   **What region or culture are you interested in?** (e.g., Japan, Nigeria, the American Southwest, etc.)
*   **Do you have any images or descriptions of the houses you want me to identify?**
*   **Are there any specific features you're looking for?** (e.g., thatched roofs, specific building materials, raised platforms, etc.)

The more information you give me, the better I can help you identify the traditional houses.

For example, you could say:

*   ""Identify the traditional houses of Japan.""
*   ""I have a picture of a house with a steeply pitched roof and snow on it. Is it a traditional house?""
*   ""What are some examples of traditional houses in the Philippines?""

Once I have this information, I can give you a more accurate and helpful answer.
"
Provide the central houses of Hogwarts.,"The four central houses of Hogwarts School of Witchcraft and Wizardry are:

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry.
*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play.
*   **Ravenclaw:** Known for intelligence, learning, wisdom, wit, and creativity.
*   **Slytherin:** Known for ambition, cunning, leadership, resourcefulness, and self-preservation."
List the recognized house groups.,"Okay, to give you a comprehensive list of ""house groups,"" I need to clarify what you mean by ""house.""  The term ""house group"" can refer to several different things. Here are a few possibilities, along with lists for each:

**1. Houses in a School (e.g., Hogwarts-style or Boarding School Houses):**

*   This is common in many schools, particularly in the UK, Commonwealth countries, and schools inspired by those systems. Houses are used for competition, pastoral care, and building community.

    *   **Examples (fictional):**
        *   **Hogwarts (Harry Potter):** Gryffindor, Hufflepuff, Ravenclaw, Slytherin
    *   **Examples (real):**
        *   Many boarding schools and day schools have their own unique house names, often based on historical figures, school founders, or local landmarks.  It's impossible to list them all"
Name the primary divisions of Hogwarts.,"The primary divisions of Hogwarts are the four houses:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Identify the house categories at Hogwarts.,"The four houses at Hogwarts School of Witchcraft and Wizardry are:

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry.
*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play.
*   **Ravenclaw:** Known for intelligence, learning, wisdom, wit, and creativity.
*   **Slytherin:** Known for ambition, cunning, leadership, resourcefulness, and self-preservation."
Provide the official house names.,"Okay, to provide you with the official house names, I need to know which fictional universe you're referring to.  Please tell me which book, movie, game, or other fictional world you're interested in.

For example, are you asking about:

*   **Harry Potter:** (Gryffindor, Hufflepuff, Ravenclaw, Slytherin)
*   **Game of Thrones:** (Stark, Lannister, Targaryen, Baratheon, etc.)
*   **Divergent:** (Abnegation, Amity, Candor, Dauntless, Erudite)

Once you tell me the universe, I can give you the official house names."
List the Hogwarts house categories.,"The four Hogwarts house categories are:

*   **Gryffindor:** Values bravery, daring, nerve, and chivalry.
*   **Hufflepuff:** Values hard work, dedication, patience, loyalty, and fair play.
*   **Ravenclaw:** Values intelligence, learning, wisdom, and wit.
*   **Slytherin:** Values ambition, cunning, leadership, and resourcefulness."
Name the institutional houses of Hogwarts.,"The four institutional houses of Hogwarts School of Witchcraft and Wizardry are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Provide the standard Hogwarts houses.,"The four Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the Hogwarts houses as commonly known.,"The four Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Name the Hogwarts houses as officially recognized.,"The four Hogwarts houses are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the four central houses.,"The four central houses in Game of Thrones (A Song of Ice and Fire) are generally considered to be:

*   **House Stark** of Winterfell
*   **House Lannister** of Casterly Rock
*   **House Baratheon** of Storm's End (and later King's Landing)
*   **House Targaryen** of Dragonstone (formerly King's Landing)"
Name the four canonical houses.,"The four canonical houses of Hogwarts School of Witchcraft and Wizardry are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Identify the established houses.,"Please provide me with the context! I need more information to identify the ""established houses."" For example, tell me:

*   **What are you referring to?** Are you talking about:
    *   Fashion houses?
    *   Publishing houses?
    *   Architectural firms?
    *   Noble houses (like in Game of Thrones)?
    *   Something else entirely?
*   **What is the relevant industry or field?**
*   **Is there a list of houses you want me to choose from?**

Once you give me more details, I can help you identify the established houses.
"
Provide the four foundational houses.,"The four foundational houses of Hogwarts School of Witchcraft and Wizardry are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
List the historic houses of Hogwarts.,"The four historic houses of Hogwarts School of Witchcraft and Wizardry are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Name the well-established houses.,"Okay, to give you a good answer, I need a little more context. ""Well-established houses"" could refer to a few different things.  Please tell me what kind of houses you're interested in. For example, are you looking for:

*   **Fashion Houses:** (e.g., Chanel, Dior, Gucci)
*   **Publishing Houses:** (e.g., Penguin Random House, HarperCollins, Simon & Schuster)
*   **Architectural Houses/Firms:** (e.g., SOM, Gensler, Foster + Partners)
*   **Distilling Houses:** (e.g., Maker's Mark, Jack Daniel's, Macallan)
*   **Boarding Houses:** (e.g., Eton, Harrow, Rugby)
*   **Houses in a specific fictional universe:** (e.g., Hogwarts houses from Harry Potter, Game of Thrones houses)

Once you clarify the category, I"
Provide the main academic houses.,"When you say ""academic houses,"" it could mean a few different things. To give you the most helpful answer, I'll address the most common interpretations:

**1. Academic Disciplines/Fields of Study (Broad Categories):**

These are the major branches of knowledge that universities and colleges are typically organized around. Here are some of the most common:

*   **Humanities:** This encompasses the study of human culture, history, and thought.
    *   Literature
    *   History
    *   Philosophy
    *   Religious Studies
    *   Languages (e.g., English, Spanish, French, Classics)
    *   Art History
    *   Musicology
    *   Classics
*   **Social Sciences:** This focuses on the study of human society and social behavior.
    *   Sociology
    *   Psychology
    *   Political Science
    *   Economics
    *   Anthropology
    "
Identify the core divisions of Hogwarts.,"The core divisions of Hogwarts School of Witchcraft and Wizardry are:

*   **Houses:** Gryffindor, Hufflepuff, Ravenclaw, and Slytherin. Students are sorted into one of these houses upon arrival, and they live, study, and compete together throughout their time at Hogwarts.
*   **Years:** Students progress through seven years of education, from first year to seventh year.
*   **Subjects:** Hogwarts offers a variety of subjects, including Charms, Potions, Transfiguration, Herbology, Defense Against the Dark Arts, Astronomy, History of Magic, and more. Students typically take a core set of subjects in their early years and then choose electives as they progress."
List the Hogwarts houses traditionally recognized.,"The four Hogwarts houses traditionally recognized are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Provide the Hogwarts houses typically referenced.,"The four Hogwarts houses typically referenced are:

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry.
*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play.
*   **Ravenclaw:** Known for intelligence, learning, wisdom, wit, and creativity.
*   **Slytherin:** Known for ambition, cunning, leadership, resourcefulness, and self-preservation."
Name the Hogwarts houses most commonly cited.,"The four Hogwarts houses most commonly cited are:

*   **Gryffindor**
*   **Hufflepuff**
*   **Ravenclaw**
*   **Slytherin**"
Identify the Hogwarts houses in general.,"The four Hogwarts houses are:

*   **Gryffindor:** Known for bravery, daring, nerve, and chivalry.
*   **Hufflepuff:** Known for hard work, dedication, patience, loyalty, and fair play.
*   **Ravenclaw:** Known for intelligence, learning, wisdom, wit, and creativity.
*   **Slytherin:** Known for ambition, cunning, leadership, resourcefulness, and self-preservation."
